음식명,식품코드,1인분칼로리(kcal),탄수화물(g),단백질(g),지방(g),콜레스트롤(g),식이섬유(g),나트륨(g)
가래떡(떡국용),1,311,68.3,5.3,1,0,0,231
가래떡(떡볶이용),2,96,21,1.6,0.3,0,0,71
가자미,3,58,0.1,9.9,1.7,44.6,0,104
가자미구이,4,76,0.2,11.2,3.1,50.1,0,255
가자미조림,5,45.4,2.4,6.6,1.2,27,0.4,183
가지,6,6,1.6,0.3,0,0.3,0.2,1
가지나물,7,19,2.9,0.8,0.9,0.4,0.4,278
간장(왜간장),8,8,0.7,1.2,0,0,0,879
갈비구이,9,586,14.3,28.1,43.7,87.4,0.3,1093
갈비찜,10,262.2,3.5,13.7,20,43.2,0.1,413
갈비탕,11,362.5,20.7,16.5,22.3,49.9,0.6,992
갈치,12,60,0,7.4,3,28.8,0,40
갈치구이,13,110.4,0.1,11.3,6.8,44.1,0,331
갈치조림,14,37,1.8,4,1.5,13.8,0.3,120
갈치찌개,15,48.2,1.9,5.4,2.1,19.2,0.3,538
감(곶감),16,119,33,1.1,0.1,0,1.4,3
감(단감),17,37,10.4,0.4,0,0,0.4,6
감자,18,43,9.5,1.8,0,0,0.1,2
감자국,19,55.1,11.4,2.8,0.1,1.5,0.2,239
감자볶음,20,36.2,6,1.1,1,0.1,0.1,119
감자샐러드,21,64,9,1.7,2.5,7.1,0.2,316
감자조림,22,39,6.8,1.3,0.9,0,0.1,104
감자칩,23,239,23.6,2.5,16.7,0,0.5,117
강낭콩,24,11,2,0.7,0.1,0,0.1,0
개고기,25,144,0.4,10.5,11.1,20,0,40
건빵,26,104,18.5,2.2,2.4,0.5,0.1,116
검정콩,27,42,3.4,3.9,2,0,0.5,0.2
겨자,28,13,1,0.9,0.7,0,0.2,1
경단,29,144,30.7,2.5,1.1,0,0.2,111
고구마,30,90,21.8,1,0.1,0,0.6,11
고구마맛탕,31,266,48.1,2.5,8,0.1,1.7,18
고구마줄기,32,2,0.7,0.1,0,0,0.2,1
고구마튀김,33,72.4,11.7,0.7,2.8,0,0.2,58
고기만두,34,348.1,35,19.2,14.3,24.1,0.7,881
고들빼기,35,14,3.2,1.2,0.2,0,0.5,4
고등어,36,92,0,10.1,5.2,24,0,38
고등어(자반고등어),37,95,0.1,14.8,3.4,25.9,0,990
고등어구이,38,110.4,0,10.6,7.1,25.2,0,226
고등어조림,39,107,3.3,11.1,5.4,24.2,0.5,284
고등어찌개,40,66,2.5,6.7,3.3,14.6,0.3,225
고등어튀김,41,167.3,6.4,11.5,10,34.9,0,350
고사리,42,8,2,1,0,0,0.6,2
고사리(말린것),43,68,16.3,7.7,0.2,0,2.9,5
고사리나물,44,25.5,2.6,1.3,1.7,0,0.7,328
고추냉이(와사비),45,6,1.4,0.3,0.1,0,0.1,2
고추멸치볶음,46,30.3,2.3,2.7,1.2,5.8,0.1,112
고추볶음,47,16,1,0.7,1.3,0,0.2,111
고추장,48,27,7.5,1,0.1,0,0.5,596
고추장아찌,49,6.3,1.7,0.4,0.1,0,0.5,223
고추장아찌,50,5,1.5,0.3,0.1,0,0.4,192
고추튀김,51,42,2.2,0.5,3.7,0,0.2,254
고춧가루,52,5,1.1,0.3,0.2,0,0.4,0
고춧잎,53,2,0.3,0.1,0,0,0,0
골뱅이(통조림),54,34,1.6,6,0.3,45.6,0,209
골뱅이무침,55,82,10.5,8.3,1.1,55.8,0.6,421
곰보빵(소보로빵),56,263,39.6,6.2,9.2,18.9,0.3,162
곰탕(가정식),57,119,1.8,12.3,5.6,31,0.1,833
곰탕(외식),58,198,3.1,20.5,9.3,51.7,0.2,1388
곱창전골,59,127.5,11.9,8.8,5.8,85.5,1.1,572
과일탄산음료,60,123,31.8,0,0,0,0,5
광어매운탕,61,115,5.9,18.1,2.8,49,1.1,139
국밥,62,343.9,66.5,11.2,2.6,16.4,0.5,876
군만두,63,429,36.7,19,22.5,24,0.4,1068
굴,64,13,0.7,1.8,0.2,7.2,0,46
굴무침,65,23.3,1.7,1.6,1.3,5.7,0.2,156
굴비,66,266,0.3,35.5,12.2,0,0,330
귤,67,38,9.9,0.7,0.1,0,0.1,11
